======================================================================
PROXY CHECK RESULTS
Total: 1000 | Live: 505 | Die: 495
======================================================================

----------------------------------------
[LIVE] 505 proxies
----------------------------------------
[LIVE] prxserver52025.onthewifi.com:5566 | SOCKS5 | 775ms | IP: 27.79.234.246
[LIVE] serverproxybc4.ddns.net:5337 | SOCKS5 | 772ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:5022 | SOCKS5 | 755ms | IP: 171.229.217.155
[LIVE] serverproxybc4.ddns.net:5073 | SOCKS5 | 705ms | IP: 117.6.107.34
[LIVE] serverproxybc4.ddns.net:5038 | SOCKS5 | 779ms | IP: 27.66.124.8
[LIVE] prxserver62025.onthewifi.com:5442 | SOCKS5 | 817ms | IP: 27.79.129.128
[LIVE] prxserver62025.onthewifi.com:5214 | SOCKS5 | 840ms | IP: 27.79.130.66
[LIVE] prxserver62025.onthewifi.com:5680 | SOCKS5 | 872ms | IP: 27.79.130.140
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 902ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 870ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 1007ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 1002ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 1189ms | IP: 27.79.147.110
[LIVE] prxserver42025.onthewifi.com:4018 | HTTP | 3860ms | IP: 171.224.17.52
[LIVE] prxserver42025.onthewifi.com:4101 | HTTP | 4061ms | IP: 171.224.18.121
[LIVE] prxserver42025.onthewifi.com:4951 | HTTP | 4139ms | IP: 171.224.23.165
[LIVE] prxserver42025.onthewifi.com:4492 | HTTP | 3955ms | IP: 27.76.184.26
[LIVE] serverproxybc4.ddns.net:4299 | HTTP | 4000ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:4405 | HTTP | 3944ms | IP: 171.229.217.155
[LIVE] serverproxybc4.ddns.net:4092 | HTTP | 3876ms | IP: 117.6.107.34
[LIVE] serverproxybc4.ddns.net:4963 | HTTP | 4589ms | IP: 27.66.124.8
[LIVE] prxserver52025.onthewifi.com:4196 | HTTP | 5990ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:4340 | HTTP | 3859ms | IP: 27.79.234.45
[LIVE] prxserver52025.onthewifi.com:5331 | SOCKS5 | 833ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:5069 | SOCKS5 | 823ms | IP: 27.79.234.45
[LIVE] prxserver52025.onthewifi.com:5566 | SOCKS5 | 1005ms | IP: 27.79.234.246
[LIVE] serverproxybc4.ddns.net:5337 | SOCKS5 | 998ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:5022 | SOCKS5 | 867ms | IP: 171.229.217.155
[LIVE] serverproxybc4.ddns.net:5073 | SOCKS5 | 999ms | IP: 117.6.107.34
[LIVE] serverproxybc4.ddns.net:5038 | SOCKS5 | 867ms | IP: 27.66.124.8
[LIVE] prxserver62025.onthewifi.com:5442 | SOCKS5 | 849ms | IP: 27.79.129.128
[LIVE] prxserver62025.onthewifi.com:5214 | SOCKS5 | 774ms | IP: 27.79.130.66
[LIVE] prxserver62025.onthewifi.com:5680 | SOCKS5 | 783ms | IP: 27.79.130.140
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 1052ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 1012ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 1009ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 1000ms | IP: 27.79.147.110
[LIVE] prxserver42025.onthewifi.com:4018 | HTTP | 3964ms | IP: 171.224.17.52
[LIVE] prxserver42025.onthewifi.com:4101 | HTTP | 4865ms | IP: 171.224.18.121
[LIVE] prxserver42025.onthewifi.com:4951 | HTTP | 5731ms | IP: 171.224.23.165
[LIVE] prxserver42025.onthewifi.com:4492 | HTTP | 4117ms | IP: 27.76.184.26
[LIVE] serverproxybc4.ddns.net:4299 | HTTP | 3783ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:4405 | HTTP | 5449ms | IP: 171.229.217.155
[LIVE] serverproxybc4.ddns.net:4092 | HTTP | 4466ms | IP: 117.6.107.34
[LIVE] serverproxybc4.ddns.net:4963 | HTTP | 3933ms | IP: 27.66.124.8
[LIVE] prxserver52025.onthewifi.com:4196 | HTTP | 4567ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:4340 | HTTP | 4146ms | IP: 27.79.234.45
[LIVE] prxserver52025.onthewifi.com:4529 | HTTP | 4538ms | IP: 27.79.234.246
[LIVE] prxserver52025.onthewifi.com:5331 | SOCKS5 | 616ms | IP: 27.79.233.150
[LIVE] prxserver52025.onthewifi.com:5069 | SOCKS5 | 607ms | IP: 27.79.234.45
[LIVE] prxserver52025.onthewifi.com:5566 | SOCKS5 | 1059ms | IP: 27.79.234.246
[LIVE] serverproxybc4.ddns.net:5337 | SOCKS5 | 604ms | IP: 171.242.152.186
[LIVE] serverproxybc4.ddns.net:5022 | SOCKS5 | 608ms | IP: 171.229.217.155
[LIVE] serverproxybc4.ddns.net:5073 | SOCKS5 | 1181ms | IP: 117.6.107.34
[LIVE] serverproxybc4.ddns.net:5038 | SOCKS5 | 761ms | IP: 27.66.124.8
[LIVE] prxserver62025.onthewifi.com:5442 | SOCKS5 | 1201ms | IP: 27.79.129.128
[LIVE] prxserver62025.onthewifi.com:5214 | SOCKS5 | 606ms | IP: 27.79.130.66
[LIVE] prxserver62025.onthewifi.com:5680 | SOCKS5 | 612ms | IP: 27.79.130.140
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 766ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 773ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 759ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 764ms | IP: 27.79.147.110
[LIVE] prxserver62025.onthewifi.com:5498 | SOCKS5 | 1128ms | IP: 27.79.147.110
[LIVE] prxserver42025.onthewifi.com:4018 | HTTP | 3813ms | IP: 171.224.17.52
[LIVE] prxserver42025.onthewifi.com:4101 | HTTP | 4634ms | IP: 171.224.18.121
[LIVE] prxserver42025.onthewifi.com:4951 | HTTP | 3703ms | IP: 171.224.23.165
[LIVE] prxserver42025.onthewifi.com:4492 | HTTP | 3840ms | IP: 27.76.184.26
[LIVE] serverproxybc4.ddns.net:4299 | HTTP | 3798ms | IP: 171.242.152.186
